filename,condition,side bias,safe bias,inverse temperature,curvature for gains,curvature for losses,reward1 weight,reward2 weight,reward3 weight,reward4 weight,reward5 weight
FLAGTASK_PARTICIPANT_SESSION_2022-01-31_12h28.10.548.csv,sub_freeweights,0.351610953519895,-0.393674183632474,0.0484634032380605,0.292254517835374,1.49676385296674e-06,0.331241698757205,0.331941357597124,0.0703192495303908,0.266497969046635,-2.7493135501544e-07
FLAGTASK_PARTICIPANT_SESSION_2022-01-31_19h01.13.337.csv,sub_freeweights,-0.575634348443417,-0.733391863500732,0.0402948703739442,0.050945567771182,0.0955241711734732,0.0100000010451579,0.20631829379044,0.295694760401802,0.231977161587148,0.256009783175452
FLAGTASK_PARTICIPANT_SESSION_2022-02-01_15h37.06.271.csv,sub_freeweights,0.4672858027465,-0.23781627660754,0.143967001152178,0.41922994724371,0.753105839667639,0.30043820074713,0.218596264905732,0.204105051964732,0.144179703886829,0.132680778495577
FLAGTASK_PARTICIPANT_SESSION_2022-02-02_10h09.28.852.csv,sub_freeweights,-0.356947449716598,0.268863643227032,0.0315209807699193,0.159322290748308,0.599347651113313,0.0100001101864753,0.152222386464284,0.24012028178359,0.273308557768699,0.324348663796952
FLAGTASK_PARTICIPANT_SESSION_2022-02-03_01h32.05.984.csv,sub_freeweights,-0.905874156402323,-0.107913745419576,-0.00475697377022597,1.4898808439149,0.0230780551341873,0.010265674379622,0.0106264129977525,0.777291585628169,0.201816223559438,1.03435017995146e-07
FLAGTASK_PARTICIPANT_SESSION_2022-02-03_13h38.17.479.csv,sub_freeweights,0.257951656253457,-0.0426034809181851,0.048903300371164,3.649027412158e-06,0.0568204390254866,0.0100016975277141,0.276020683787467,0.298564482932999,0.24716966730309,0.168243468448731
FLAGTASK_PARTICIPANT_SESSION_2022-02-04_09h46.02.300.csv,sub_freeweights,0.0921541054091772,-0.136223856977552,0.0340049372526236,2.35817268710087e-07,0.294617087497018,0.123253446250359,0.258049144256855,0.313237532305169,0.219372022979176,0.086087854208442
FLAGTASK_PARTICIPANT_SESSION_2022-02-04_16h14.52.846.csv,sub_freeweights,-0.204235351912065,-1.71304475387536,0.00754860300846577,1.00095362337849,0.685517656119419,0.0316936392076529,0.136175207544068,0.482482658170733,0.0100000107787966,0.33964848429875
FLAGTASK_PARTICIPANT_SESSION_2022-02-05_16h37.20.691.csv,sub_freeweights,0.0963682188054328,-0.7601493905388,0.0281992827015034,1.03745814499998e-05,3.10326108055321e-05,0.137705316864853,0.33308118471816,0.153178469090908,0.228306971107263,0.147728058218816
FLAGTASK_PARTICIPANT_SESSION_2022-02-05_21h05.28.535.csv,sub_freeweights,-0.0863902086921542,-1.40963039479859,0.0136153391417641,0.594999646450882,0.00138617540776995,0.095745542454921,0.499724180000491,0.0353395559739481,0.369198252686813,-7.53111617290969e-06
FLAGTASK_PARTICIPANT_SESSION_2022-02-06_02h00.25.592.csv,sub_freeweights,0.42113208566754,-0.994335431465891,0.0879708109946,0.0637456402428654,0.0621917363904133,0.0100000001391364,0.362087663699222,0.266614679682244,0.247064758948015,0.114232897531384
FLAGTASK_PARTICIPANT_SESSION_2022-02-06_13h35.10.741.csv,sub_freeweights,-0.0412413357053982,-1.38142615149584,0.00584516693895959,0.0338228112666963,1.61000819470371e-17,0.0100000220499587,0.0100000089120298,0.167085302768942,0.573706762029709,0.23920790423936
FLAGTASK_PARTICIPANT_SESSION_2022-02-06_13h57.30.908.csv,sub_freeweights,-0.321679881389939,-2.36316200806882,0.00942386970307621,0.0496000987227111,0.135082710948047,0.01000005908775,0.131142338817961,0.258162092243329,0.0100000121434009,0.590695497707559
FLAGTASK_PARTICIPANT_SESSION_2022-02-07_14h22.55.534.csv,sub_freeweights,0.51702597426833,-1.71287332131996,0.0199125487042945,2.2129071873016,1.90842376147306e-06,0.109358932839843,0.147877350574306,0.428179480125455,0.199089661510269,0.115494574950127
FLAGTASK_PARTICIPANT_SESSION_2022-02-09_15h33.22.784.csv,sub_freeweights,0.545889714164419,-0.209623436731957,0.0325964773549104,0.603284407356759,1.1983322123714e-05,0.117213254606028,0.0978884470262178,0.226949994427662,0.257786700178465,0.300161603761626
FLAGTASK_PARTICIPANT_SESSION_2022-02-09_23h09.26.796.csv,sub_freeweights,-0.015237857697879,-0.563383035645929,0.0277445404139334,0.415992986596795,3.56599345162842e-06,0.208120140419261,0.15175771744226,0.288598628710778,0.0100049932126373,0.341518520215064
FLAGTASK_PARTICIPANT_SESSION_2022-02-10_00h31.33.55.csv,sub_freeweights,0.447536091335652,-0.0478111348676097,0.042208458702905,0.556146354390862,1.13991405859915e-05,0.0316598481073209,0.195026963874372,0.150575174901481,0.271567205291075,0.351170807825752
FLAGTASK_PARTICIPANT_SESSION_2022-02-10_17h29.18.439.csv,sub_freeweights,0.149811889914396,-0.563321867242907,0.027850055131563,1.39995615481537e-06,0.271408774335567,0.130278718702588,0.242789056817712,0.250902675019142,0.213189225460288,0.16284032400027
FLAGTASK_PARTICIPANT_SESSION_2022-02-11_01h23.11.341.csv,sub_freeweights,0.703004135767779,-0.72115993743362,0.0704278160434699,1.18765743886158e-06,0.0749192660797333,0.0100012611085332,0.374204356083523,0.0100001894075428,0.23384745627157,0.371946737128831
FLAGTASK_PARTICIPANT_SESSION_2022-02-11_03h38.42.720.csv,sub_freeweights,0.294009809767477,-0.142205374648843,0.0369472231426149,0.387179945762561,3.69677926891794e-10,0.198295640249403,0.0773832309785848,0.431974867454492,0.205529835481862,0.0868164258356577
