filename,condition,primacy-recency,side bias,safe bias,inverse temperature,curvature for gains,curvature for losses,
FLAGTASK_PARTICIPANT_SESSION_2022-02-18_16h05.23.438.csv,sub_final,0.970599054,-0.389697203,-0.994585252,0.030007339,0.286627054,6.15E-06,
FLAGTASK_PARTICIPANT_SESSION_2022-02-18_17h58.12.927.csv,sub_final,1.366718111,-0.107128086,-1.003450162,0.021703253,0.673271992,2.44E-07,
FLAGTASK_PARTICIPANT_SESSION_2022-02-18_18h01.58.753.csv,sub_final,1.107592068,0.320744269,-0.069523821,0.054741278,0.653416956,0.928740474,
FLAGTASK_PARTICIPANT_SESSION_2022-02-18_18h31.19.889.csv,sub_final,99.99807596,1.674291499,-0.979140669,0.004462829,4.077541319,1.991426788,
FLAGTASK_PARTICIPANT_SESSION_2022-02-18_20h08.57.464.csv,sub_final,1.013819063,-0.604560131,0.424832672,0.041084044,2.31E-07,0.923259065,
FLAGTASK_PARTICIPANT_SESSION_2022-02-18_22h51.24.611.csv,sub_final,0.53156401,0.407368813,-2.6622767,0.007618604,0.728024652,6.85E-06,
FLAGTASK_PARTICIPANT_SESSION_2022-02-18_23h01.44.558.csv,sub_final,0.788318343,0.159755212,0.39077098,0.0275751,2.98E-07,0.037591617,
FLAGTASK_PARTICIPANT_SESSION_2022-02-18_23h22.34.778.csv,sub_final,0.444774923,-0.233346695,-2.57037544,0.013161234,3.28E-05,2.49E-06,
FLAGTASK_PARTICIPANT_SESSION_2022-02-21_12h37.47.158.csv,sub_final,1.071945731,-0.448224726,-0.616974858,0.018828788,0.671375639,2.28E-07,
FLAGTASK_PARTICIPANT_SESSION_2022-02-21_20h05.34.685.csv,sub_final,0.899788745,-0.356166508,0.321805292,0.028232917,2.63E-07,0.404445383,
FLAGTASK_PARTICIPANT_SESSION_2022-02-23_12h10.11.258.csv,sub_final,1.394933673,-0.360914825,0.358810729,0.028023547,0.279150883,1.41E-07,
FLAGTASK_PARTICIPANT_SESSION_2022-02-24_23h45.23.454.csv,sub_final,0.90088199,-0.273381083,-0.284464519,0.026066348,0.623765658,2.07E-06,
FLAGTASK_PARTICIPANT_SESSION_2022-02-26_16h16.46.649.csv,sub_final,1.537042547,0.198174556,-0.757219445,0.011317594,0.415725948,0.473632798,
FLAGTASK_PARTICIPANT_SESSION_2022-02-26_16h36.00.200.csv,sub_final,1.281814461,0.036918074,-1.051113939,0.010882385,0.25994703,2.21E-05,
FLAGTASK_PARTICIPANT_SESSION_2022-02-27_17h28.59.600.csv,sub_final,3.517080297,-0.331657156,-0.068933912,0.016868479,0.002201482,0.170030533,
